utterance_id,act,scene,speaker,utterance,x,y,cluster
1,1,1,SVB.,Thy worst . I fart at thee .,11.69108,5.388476,-1
2,1,1,DOL.,Ha' you your wits ? Why Gentlemen ! for loue â€”,10.2882595,5.220088,-1
3,1,1,FAC.,"Sirah , I 'll strip you â€”",8.564803,8.287993,-1
4,1,1,SVB.,What to do ? licke figs Out at my â€”,8.626116,8.297409,-1
5,1,1,FAC.,"Rogue , Rogue , out of all your sleights .",8.954653,3.0812368,-1
6,1,1,DOL.,"Nay , look ye ! Soueraigne , General , are you Madmen ?",8.653568,5.657999,-1
7,1,1,SVB.,"O , let the wild sheepe loose . I le gumme your silkes With good strong water , an 'you come .",10.6490135,3.7884805,-1
8,1,1,DOL.,"Will you haue The neighbours heare you ? Will you betray all ? Hearke , I heare some body .",8.163299,6.0284023,-1
9,1,1,FAC.,Srah.,6.017438,6.4582815,-1
10,1,1,SVB.,"I shall marre All that the Taylor has made , if you approach .",9.52226,5.2772665,-1
11,1,1,FAC.,"You most notorious whelpe , you insolent slaue , Dare you doe this ?",9.746182,4.5042915,-1
12,1,1,SVB.,"Yes faith , yes faith .",12.2207155,6.4185524,-1
13,1,1,FAC.,"Why ! who Am I , my Mungrill ? Who am I ?",10.539456,4.9615765,-1
14,1,1,SVB.,"I 'll tell you , Since you know not your selfe .",7.590331,5.3143816,-1
15,1,1,FAC.,"Speake lower , Rogue .",8.964298,3.1198757,-1
16,1,1,SVB.,"Yes . You were once ( time 's not long past ) the good , Honest , plaine , liuerie-three-pound-Thrum ; that kept Your Maisters worships house , here , in the Friers , For the vacations .",9.462421,4.34444,-1
17,1,1,FAC.,Will you be so loud ?,8.142263,6.141503,-1
18,1,1,SVB.,"Since , by my meanes , translated Suburb-Captaine .",8.398934,6.093377,-1
19,1,1,FAC.,"By your meanes , Doctor Dog ?",9.313473,6.124937,-1
20,1,1,SVB.,"Within mans memory , All this , I speake of .",8.617861,5.136394,-1
21,1,1,FAC.,"Why , I pray you , haue I Beene countenanc'd by you ? or you , by me ? Doe but collect , Sr. where I met you first .",7.0430655,6.984434,-1
22,1,1,SVB.,I doe not heare well .,8.116423,5.989875,-1
23,1,1,FAC.,"Not of this , I thinke it . But I shall put you in minde , Sr. at Pie-Corner , Taking your meale of steeme in , from Cookes stalls Where , like the Father of Hunger , you did walke Piteously costiue with your pinch'd horne-nose , And your complexion , of the Romanâ— wash , Stuck full of blacke , and melancholique wormes , Like poulder cornes , shot , at th' Artillery-yard .",10.970982,4.270338,-1
24,1,1,SVB.,"I wish , you could aduance your voice , a little .",8.102896,6.26929,-1
25,1,1,FAC.,"When you went pinn'd vp , in the seuerall ragges , Yo 'had rak'd , and pick'd from dunghâ—s , before day , Your feete in mouldy suppers , for your kibes , A felt of rugg , and a thin thredden cloake , That scarce would couer your no-buttockes .",9.939949,4.6024723,-1
26,1,1,SVB.,So Sr.,6.0197434,6.561889,-1
27,1,1,FAC.,"When all your Alchemye , and your Algebra , Your Mineralls , Vegetalls , and Animalls , Your Coniuring , Cosning , and your dosen of Trades Could not relieue your corps , with so much linnen Would make you tinder , but to see a fire ; I ga' you count'nance , credit for your Coales , Your Stilles , your Glasses , your Materialls , Built you a Fornace , drew you Customers , Aduanc'd all your blacke Arts ; lent you , beside . A house to practise in .",11.415228,4.2505417,-1
28,1,1,SVB.,Your Masters house ?,8.440011,4.9783006,-1
29,1,1,FAC.,"Where you haue studied the more thriuing skill Of Bawdry , since .",11.778355,3.7498252,-1
30,1,1,SVB.,"Yes , in your Masters house . You , and the Rats , here , kept possession . Make it not strange . I know , you were one , could keepe The Buttry-hatch still lock'd , and saue the chippings , Sell the dole-beere to Aqua-vitae men , The which , together with your Christmasse vailes , At Post , and Paire , your letting out of Counters , Made you a pretty stocke some twenty markes , And gaue you credit , to conuerse with cobwebs , Here , since your Mistresse death hath broke vp house .",8.874866,4.5458145,-1
31,1,1,FAC.,"You might talke softlier , Raskall .",8.679744,2.3531914,-1
32,1,1,SVB.,"No , you Scarabe , I 'll thunder you , in peeces . I will teach you How to beware , to tempt a Fury ' againe That carries tempest in his hand , and voyce .",10.439304,4.5139656,-1
33,1,1,FAC.,The Place has made you valiant .,11.287119,6.1916428,-1
34,1,1,SVB.,"No , your Clothes . Thou Vermine haue I tane thee , out of dung , So poore , so wretched , when no liuing thing Would keepe thee company , but a Spider , or worse ? Raysd thee from broomes , and dust , and watring pots ? Sublsm'd thee , and exalted thee , and fix'd thee I' the third region , the high state of grace ? Wrought thee to spirit , to quintessence , with paines Would twise haue wonne me the Philosophers worke ? Put thee in words , and fashion ? made thee fit For more then ordinary fellowships ? Giu'n thee thy othes , thy quarrelling dimensions ? Thy rules , to cheate at horse-race , cock-pit , cardes , Dice , or what euer gallant tincture , else ? Made thee a Second , in mine owne great Art ? And haue I this for thanke ? Doe'you rebell ? Doe you flye out , i' the proiection ? Would you be gone now ?",11.303602,4.807944,-1
35,1,1,DOL.,"Gentlemen , what meane you ? Will you marre all ?",7.9058843,6.3534718,-1
36,1,1,SVB.,"Slaue , thou hadst had no Name ,",11.472767,5.0911593,-1
37,1,1,DOL.,"Will you vndoe your selues , with ciuill warre ?",8.394544,5.5313783,-1
38,1,1,SVB.,"Neuer beene knowne , past Equi Clibanum , The heate of horse-dung , vnder ground , in cellars , Or an Ale-house , darker then deafe Iohn's : bene lost To all mankinde , but Laundresses , and Tapsters , Had not I beene .",11.285354,4.0105095,-1
39,1,1,DOL.,"Do' you know who heares you , Soueraigne ?",8.537514,5.7344003,-1
40,1,1,FAC.,Srah â€”,8.624904,8.4000225,-1
